,dog_ensembl_id,dog_gene_symbol,human_ensembl_id,human_gene_symbol,orthology_type,pct_id_dog_to_human,pct_id_human_to_dog
162431,ENSCAFG00000006342,,ENSG00000213719,,ortholog_one2many,96.0976,81.7427
173165,ENSCAFG00000007135,,ENSG00000273748,,ortholog_one2many,38.3721,80.4878
183100,ENSCAFG00000008535,,ENSG00000100902,,ortholog_one2many,96.2963,82.5397
196936,ENSCAFG00000003639,,ENSG00000148672,,ortholog_many2many,84.0336,35.8423
196937,ENSCAFG00000003639,,ENSG00000182890,,ortholog_many2many,81.0924,34.5878
204554,ENSCAFG00000048993,,ENSG00000112335,,ortholog_one2many,92.5,68.5185
225194,ENSCAFG00000005757,,ENSG00000131174,,ortholog_one2many,85.0,63.75
242332,ENSCAFG00000042036,,ENSG00000012061,,ortholog_one2many,67.033,56.6563
248380,ENSCAFG00000032169,,ENSG00000101367,,ortholog_one2many,75.3333,84.3284
277437,ENSCAFG00000023223,,ENSG00000028839,,ortholog_one2many,82.8026,69.8925
342670,ENSCAFG00000032118,,ENSG00000187581,,ortholog_one2one,30.8824,29.1667
446968,ENSCAFG00000024629,,ENSG00000125753,,ortholog_one2one,49.635,17.8947
463830,ENSCAFG00000003628,,ENSG00000182712,,ortholog_one2many,67.5325,76.4706
472747,ENSCAFG00000003951,,ENSG00000170191,,ortholog_one2many,89.1775,83.0645
480017,ENSCAFG00000004229,,ENSG00000148672,,ortholog_many2many,95.5102,83.871
480018,ENSCAFG00000004229,,ENSG00000182890,,ortholog_many2many,92.8571,81.5412
483972,ENSCAFG00000028785,,ENSG00000112096,,ortholog_one2many,61.1842,41.8919
497020,ENSCAFG00000031531,,ENSG00000000003,,ortholog_one2many,92.3445,78.7755
499123,ENSCAFG00000005529,,ENSG00000165672,,ortholog_one2many,81.4126,85.5469
499864,ENSCAFG00000045114,,ENSG00000102309,,ortholog_one2many,90.0763,75.641
501360,ENSCAFG00000005653,,ENSG00000269437,,ortholog_many2many,64.4444,60.2236
501361,ENSCAFG00000005653,,ENSG00000269405,,ortholog_many2many,64.4444,60.2236
501362,ENSCAFG00000005653,,ENSG00000126952,,ortholog_many2many,38.8034,62.1918
506756,ENSCAFG00000042708,,ENSG00000234278,,ortholog_one2many,31.4516,35.2941
506757,ENSCAFG00000042708,,ENSG00000229665,,ortholog_one2many,31.4516,35.2941
506758,ENSCAFG00000042708,,ENSG00000204918,,ortholog_one2many,31.4516,35.2941
506759,ENSCAFG00000042708,,ENSG00000204919,,ortholog_one2many,31.4516,35.2941
506760,ENSCAFG00000042708,,ENSG00000227151,,ortholog_one2many,31.4516,35.2941
512808,ENSCAFG00000004411,,ENSG00000102409,,ortholog_one2one,74.5763,73.3333
531639,ENSCAFG00000047459,,ENSG00000150459,,ortholog_one2many,78.5311,80.814
593425,ENSCAFG00000014153,,ENSG00000105726,,ortholog_one2one,96.2687,96.4286
593665,ENSCAFG00000014170,,ENSG00000089639,,ortholog_one2one,79.461,88.1443
593878,ENSCAFG00000014181,,ENSG00000064547,,ortholog_one2one,96.0114,96.0114
594174,ENSCAFG00000014191,,ENSG00000105717,,ortholog_one2one,79.4805,81.8182
594398,ENSCAFG00000023249,,ENSG00000160161,,ortholog_one2one,88.65,88.7263
594613,ENSCAFG00000014244,,ENSG00000186010,,ortholog_one2one,70.1389,67.3333
594824,ENSCAFG00000030319,,ENSG00000178093,,ortholog_one2one,97.6654,91.9414
595041,ENSCAFG00000014267,,ENSG00000167491,,ortholog_one2one,88.9561,92.7445
595350,ENSCAFG00000014291,,ENSG00000129933,,ortholog_one2one,99.6737,99.6737
595618,ENSCAFG00000014314,,ENSG00000105705,,ortholog_one2one,87.7458,89.9225
595861,ENSCAFG00000014329,,ENSG00000213996,,ortholog_one2one,82.9787,82.7586
596008,ENSCAFG00000023570,,ENSG00000187664,,ortholog_one2one,95.5446,96.0199
596221,ENSCAFG00000014218,,ENSG00000130287,,ortholog_one2one,75.1663,76.9871
596545,ENSCAFG00000014331,,ENSG00000184162,,ortholog_one2one,89.9281,74.8503
596770,ENSCAFG00000014341,,ENSG00000064490,,ortholog_one2one,91.9231,91.9231
596994,ENSCAFG00000024526,,ENSG00000254901,,ortholog_one2one,59.887,89.0756
597207,ENSCAFG00000014350,,ENSG00000064489,,ortholog_one2many,66.6667,65.445
597208,ENSCAFG00000014350,,ENSG00000213999,,ortholog_one2many,82.1333,82.1333
597430,ENSCAFG00000014369,,ENSG00000064545,,ortholog_one2one,63.2224,75.3653
597662,ENSCAFG00000014386,,ENSG00000181035,,ortholog_one2one,56.2005,66.9811
597954,ENSCAFG00000014404,,ENSG00000105676,,ortholog_one2one,84.0336,79.8403
598185,ENSCAFG00000014431,,ENSG00000064607,,ortholog_one2one,77.0169,74.9088
598347,ENSCAFG00000014475,,ENSG00000268193,,ortholog_one2many,19.7222,84.5238
598348,ENSCAFG00000014475,,ENSG00000051128,,ortholog_one2many,93.8889,93.6288
598655,ENSCAFG00000014512,,ENSG00000105671,,ortholog_one2one,70.405,93.5818
598891,ENSCAFG00000014531,,ENSG00000105669,,ortholog_one2one,81.5864,87.0091
599123,ENSCAFG00000014578,,ENSG00000005007,,ortholog_one2one,99.646,99.7343
599404,ENSCAFG00000014616,,ENSG00000105664,,ortholog_one2one,77.5533,91.2814
599634,ENSCAFG00000014647,,ENSG00000105662,,ortholog_one2one,95.5658,96.1538
599929,ENSCAFG00000014671,,ENSG00000167487,,ortholog_one2one,89.426,96.2602
600172,ENSCAFG00000014687,,ENSG00000105696,,ortholog_one2one,55.9889,58.7719
600387,ENSCAFG00000014698,,ENSG00000006016,,ortholog_one2one,98.1723,89.0995
600719,ENSCAFG00000014713,,ENSG00000006015,,ortholog_one2one,35.2564,54.7264
600804,ENSCAFG00000014723,,ENSG00000221983,,ortholog_one2many,85.9375,79.7101
601023,ENSCAFG00000014727,,ENSG00000105700,,ortholog_one2one,94.3182,85.1282
601225,ENSCAFG00000014770,,ENSG00000105656,,ortholog_one2one,47.2774,88.0837
601530,ENSCAFG00000014862,,ENSG00000130511,,ortholog_one2one,56.1798,77.9221
601783,ENSCAFG00000014879,,ENSG00000175489,,ortholog_one2one,58.9226,57.377
601867,ENSCAFG00000014882,,ENSG00000130513,,ortholog_one2one,62.215,62.013
602092,ENSCAFG00000014891,,ENSG00000130517,,ortholog_one2one,96.5854,94.7368
602381,ENSCAFG00000014900,,ENSG00000130520,,ortholog_one2many,86.3309,50.4202
602590,ENSCAFG00000023338,,ENSG00000130522,,ortholog_one2one,60.4824,93.9481
602817,ENSCAFG00000014928,,ENSG00000105650,,ortholog_one2many,61.1924,76.4045
602818,ENSCAFG00000014928,,ENSG00000285188,,ortholog_one2many,61.1924,76.4045
602921,ENSCAFG00000014907,,ENSG00000130518,,ortholog_one2one,48.381,55.7425
602997,ENSCAFG00000014945,,ENSG00000105649,,ortholog_one2one,99.0909,99.0909
603306,ENSCAFG00000014954,,ENSG00000254858,,ortholog_one2one,49.8507,81.068
603535,ENSCAFG00000014956,,ENSG00000216490,,ortholog_one2one,66.1355,66.4
603697,ENSCAFG00000014978,,ENSG00000268173,,ortholog_one2many,96.9697,96.7033
603698,ENSCAFG00000014978,,ENSG00000105647,,ortholog_one2many,96.9697,96.7033
603982,ENSCAFG00000015009,,ENSG00000099308,,ortholog_one2one,90.5488,90.7563
604286,ENSCAFG00000015028,,ENSG00000096996,,ortholog_one2one,62.7049,69.3354
604390,ENSCAFG00000015088,,ENSG00000105643,,ortholog_one2one,71.0983,90.6634
604641,ENSCAFG00000015092,,ENSG00000105642,,ortholog_one2one,80.9904,93.3702
604939,ENSCAFG00000015098,,ENSG00000007080,,ortholog_one2one,95.5157,95.5157
605160,ENSCAFG00000015051,,ENSG00000105641,,ortholog_one2one,83.9564,83.8258
605560,ENSCAFG00000015159,,ENSG00000105639,,ortholog_one2one,90.1179,88.4342
605692,ENSCAFG00000015192,,ENSG00000179913,,ortholog_one2one,72.8495,72.8495
606026,ENSCAFG00000015256,,ENSG00000167483,,ortholog_one2one,65.2051,66.1406
606136,ENSCAFG00000015212,,ENSG00000130475,,ortholog_one2one,86.5672,90.625
606372,ENSCAFG00000015229,,ENSG00000130479,,ortholog_one2one,83.3648,83.2861
606631,ENSCAFG00000024064,,ENSG00000130477,,ortholog_one2one,90.1348,85.4239
606800,ENSCAFG00000031738,,ENSG00000130309,,ortholog_one2one,95.9872,96.1415
607076,ENSCAFG00000015270,,ENSG00000130313,,ortholog_one2one,96.5116,96.5116
607299,ENSCAFG00000015315,,ENSG00000130304,,ortholog_one2one,91.7305,92.7245
607612,ENSCAFG00000015337,,ENSG00000130300,,ortholog_one2one,64.7303,70.5882
607871,ENSCAFG00000015329,,ENSG00000269035,,ortholog_one2many,46.7354,60.177
607872,ENSCAFG00000015329,,ENSG00000188051,,ortholog_one2many,86.9416,86.9416
607955,ENSCAFG00000015332,,ENSG00000141971,,ortholog_one2one,77.8135,88.6447
608159,ENSCAFG00000031353,,ENSG00000130303,,ortholog_one2one,37.766,39.4444
608247,ENSCAFG00000034757,,ENSG00000269720,,ortholog_one2one,81.3559,82.0513
608306,ENSCAFG00000015378,,ENSG00000130299,,ortholog_one2one,86.9919,81.6794
608512,ENSCAFG00000015416,,ENSG00000074855,,ortholog_one2one,77.3035,92.6136
608807,ENSCAFG00000031251,,ENSG00000130311,,ortholog_one2one,27.2727,82.3529
609112,ENSCAFG00000028802,,ENSG00000130312,,ortholog_one2one,74.4186,34.7826
609341,ENSCAFG00000015430,,ENSG00000127220,,ortholog_one2one,74.9553,95.4442
609654,ENSCAFG00000015434,,ENSG00000160117,,ortholog_one2one,54.6407,54.559
609853,ENSCAFG00000015487,,ENSG00000160113,,ortholog_one2one,49.8691,94.3069
610168,ENSCAFG00000015454,,ENSG00000105393,,ortholog_one2one,93.1548,95.1368
610376,ENSCAFG00000015462,,ENSG00000130307,,ortholog_one2one,75.5334,75.5334
610532,ENSCAFG00000015500,,ENSG00000099330,,ortholog_one2one,58.7459,67.4242
610895,ENSCAFG00000015513,,ENSG00000053501,,ortholog_one2one,87.1795,91.8919
611137,ENSCAFG00000015532,,ENSG00000099331,,ortholog_one2one,84.3241,88.7807
611443,ENSCAFG00000015551,,ENSG00000131351,,ortholog_one2one,64.3541,65.6098
611639,ENSCAFG00000015590,,ENSG00000160111,,ortholog_one2one,83.4356,77.4327
611834,ENSCAFG00000015606,,ENSG00000127533,,ortholog_one2one,71.2821,72.2078
612062,ENSCAFG00000015616,,ENSG00000127511,,ortholog_one2one,95.6444,92.599
612305,ENSCAFG00000015626,,ENSG00000188039,,ortholog_one2one,82.0562,82.1611
612432,ENSCAFG00000030694,,ENSG00000072954,,ortholog_one2one,95.6522,95.6522
612669,ENSCAFG00000015648,,ENSG00000105085,,ortholog_one2many,80.5389,89.6667
612670,ENSCAFG00000015648,,ENSG00000141979,,ortholog_one2many,52.994,82.904
612967,ENSCAFG00000015651,,ENSG00000127526,,ortholog_one2one,95.1219,95.1219
613204,ENSCAFG00000015671,,ENSG00000085872,,ortholog_one2one,98.1661,98.1661
613447,ENSCAFG00000015691,,ENSG00000105072,,ortholog_one2one,57.9937,56.3166
613644,ENSCAFG00000015694,,ENSG00000269058,,ortholog_one2one,86.4935,86.7188
613849,ENSCAFG00000015735,,ENSG00000127527,,ortholog_one2one,94.0605,95.7143
614102,ENSCAFG00000015762,,ENSG00000072958,,ortholog_one2one,96.0829,95.8621
614344,ENSCAFG00000048510,,ENSG00000105058,,ortholog_one2many,99.1071,99.1071
614577,ENSCAFG00000015775,,ENSG00000141977,,ortholog_one2one,97.3262,97.3262
614814,ENSCAFG00000015778,,ENSG00000196684,,ortholog_one2one,61.4958,63.0682
614976,ENSCAFG00000015782,,ENSG00000167461,,ortholog_one2one,100.0,100.0
615278,ENSCAFG00000015796,,ENSG00000167460,,ortholog_one2one,98.9437,98.9437
615668,ENSCAFG00000023401,,ENSG00000171954,,ortholog_one2one,76.0188,91.3371
615820,ENSCAFG00000049224,,ENSG00000172519,,ortholog_many2many,82.6923,81.9048
615821,ENSCAFG00000049224,,ENSG00000186723,,ortholog_many2many,82.6923,81.1321
616268,ENSCAFG00000047126,,ENSG00000176231,,ortholog_one2many,80.5732,80.0633
616269,ENSCAFG00000047126,,ENSG00000171936,,ortholog_one2many,79.9363,79.4304
616403,ENSCAFG00000046421,,ENSG00000172519,,ortholog_many2many,77.7778,84.4444
616404,ENSCAFG00000046421,,ENSG00000186723,,ortholog_many2many,78.0702,83.9623
616647,ENSCAFG00000015962,,ENSG00000161031,,ortholog_one2one,72.7455,57.2555
616951,ENSCAFG00000015976,,ENSG00000105122,,ortholog_one2one,75.1628,79.9209
617167,ENSCAFG00000016006,,ENSG00000011451,,ortholog_one2one,91.0005,91.0005
617447,ENSCAFG00000016083,,ENSG00000105127,,ortholog_one2one,81.085,79.9133
617589,ENSCAFG00000016085,,ENSG00000141867,,ortholog_one2one,96.8359,96.6226
617661,ENSCAFG00000029522,,ENSG00000105131,,ortholog_one2one,81.362,63.0556
617855,ENSCAFG00000016107,,ENSG00000074181,,ortholog_one2one,88.4078,81.8182
618063,ENSCAFG00000016130,,ENSG00000105135,,ortholog_one2one,91.9304,91.9304
618282,ENSCAFG00000016147,,ENSG00000105137,,ortholog_one2one,90.8844,90.8844
618479,ENSCAFG00000016157,,ENSG00000094661,,ortholog_one2one,76.2058,66.7606
618668,ENSCAFG00000016159,,ENSG00000105141,,ortholog_one2one,85.5372,85.5372
618868,ENSCAFG00000016174,,ENSG00000105143,,ortholog_one2one,86.7624,96.4539
619101,ENSCAFG00000016167,,ENSG00000160994,,ortholog_one2one,82.9659,82.9659
619220,ENSCAFG00000032462,,ENSG00000185385,,ortholog_many2many,74.4548,77.3463
619221,ENSCAFG00000032462,,ENSG00000188269,,ortholog_many2many,75.0779,75.5486
619222,ENSCAFG00000032462,,ENSG00000127515,,ortholog_many2many,74.7664,77.6699
620157,ENSCAFG00000043561,,ENSG00000185385,,ortholog_many2many,77.0227,77.0227
620158,ENSCAFG00000043561,,ENSG00000188269,,ortholog_many2many,79.288,76.8025
620159,ENSCAFG00000043561,,ENSG00000127515,,ortholog_many2many,77.6699,77.6699
620393,ENSCAFG00000030673,,ENSG00000185385,,ortholog_many2many,73.2919,76.3754
620394,ENSCAFG00000030673,,ENSG00000188269,,ortholog_many2many,75.1553,75.8621
620395,ENSCAFG00000030673,,ENSG00000127515,,ortholog_many2many,74.2236,77.3463
620626,ENSCAFG00000032665,,ENSG00000185385,,ortholog_many2many,74.2236,77.3463
620627,ENSCAFG00000032665,,ENSG00000188269,,ortholog_many2many,73.2919,73.9812
620628,ENSCAFG00000032665,,ENSG00000127515,,ortholog_many2many,72.9814,76.0518
620839,ENSCAFG00000030549,,ENSG00000127530,,ortholog_one2one,77.8125,77.8125
621065,ENSCAFG00000032644,,ENSG00000127529,,ortholog_one2one,77.8481,77.116
621488,ENSCAFG00000029023,,ENSG00000185385,,ortholog_many2many,75.0809,75.0809
621489,ENSCAFG00000029023,,ENSG00000188269,,ortholog_many2many,76.699,74.2947
621490,ENSCAFG00000029023,,ENSG00000127515,,ortholog_many2many,76.0518,76.0518
621732,ENSCAFG00000045076,,ENSG00000185385,,ortholog_many2many,72.5857,75.4045
621733,ENSCAFG00000045076,,ENSG00000188269,,ortholog_many2many,71.9626,72.4138
621734,ENSCAFG00000045076,,ENSG00000127515,,ortholog_many2many,71.6511,74.4337
621968,ENSCAFG00000031363,,ENSG00000185385,,ortholog_many2many,77.6699,77.6699
621969,ENSCAFG00000031363,,ENSG00000188269,,ortholog_many2many,77.3463,74.9216
621970,ENSCAFG00000031363,,ENSG00000127515,,ortholog_many2many,76.3754,76.3754
622208,ENSCAFG00000041401,,ENSG00000185385,,ortholog_many2many,79.0323,79.288
622209,ENSCAFG00000041401,,ENSG00000188269,,ortholog_many2many,77.0968,74.9216
622210,ENSCAFG00000041401,,ENSG00000127515,,ortholog_many2many,75.8064,76.0518
622445,ENSCAFG00000041284,,ENSG00000185385,,ortholog_many2many,74.4409,75.4045
622446,ENSCAFG00000041284,,ENSG00000188269,,ortholog_many2many,72.2045,70.8464
622447,ENSCAFG00000041284,,ENSG00000127515,,ortholog_many2many,71.885,72.8155
622809,ENSCAFG00000047151,,ENSG00000185385,,ortholog_many2many,72.1003,74.4337
622810,ENSCAFG00000047151,,ENSG00000188269,,ortholog_many2many,73.3542,73.3542
622811,ENSCAFG00000047151,,ENSG00000127515,,ortholog_many2many,73.9812,76.3754
623048,ENSCAFG00000049878,,ENSG00000185385,,ortholog_many2many,66.3743,73.4628
623049,ENSCAFG00000049878,,ENSG00000188269,,ortholog_many2many,64.6199,69.279
623050,ENSCAFG00000049878,,ENSG00000127515,,ortholog_many2many,63.7427,70.5502
623566,ENSCAFG00000042599,,ENSG00000185385,,ortholog_many2many,76.9737,75.7282
623567,ENSCAFG00000042599,,ENSG00000188269,,ortholog_many2many,76.3158,72.7273
623568,ENSCAFG00000042599,,ENSG00000127515,,ortholog_many2many,75.6579,74.4337
623854,ENSCAFG00000030256,,ENSG00000160961,,ortholog_one2one,68.3442,63.3083
623933,ENSCAFG00000023992,,ENSG00000131355,,ortholog_one2one,61.9303,70.8589
624010,ENSCAFG00000016258,,ENSG00000099795,,ortholog_one2one,78.1022,78.1022
624211,ENSCAFG00000016276,,ENSG00000099797,,ortholog_one2one,95.1429,96.2428
624491,ENSCAFG00000016286,,ENSG00000132002,,ortholog_one2one,97.0588,97.0588
624936,ENSCAFG00000016295,,ENSG00000123159,,ortholog_one2one,81.0606,96.3964
625135,ENSCAFG00000016300,,ENSG00000160951,,ortholog_one2one,80.4989,88.3085
625278,ENSCAFG00000016316,,ENSG00000123143,,ortholog_one2one,77.8166,93.9873
625606,ENSCAFG00000016355,,ENSG00000123136,,ortholog_one2one,97.8923,97.8923
625892,ENSCAFG00000016385,,ENSG00000123146,,ortholog_one2one,61.8202,66.7066
626103,ENSCAFG00000016453,,ENSG00000072071,,ortholog_one2one,89.1411,98.5753
626376,ENSCAFG00000016482,,ENSG00000105011,,ortholog_one2many,95.5224,95.0495
626636,ENSCAFG00000016488,,ENSG00000072062,,ortholog_one2one,95.4286,95.1567
627004,ENSCAFG00000028625,,ENSG00000188032,,ortholog_one2one,84.7262,82.1229
627179,ENSCAFG00000016500,,ENSG00000141854,,ortholog_one2one,60.8414,52.0776
627292,ENSCAFG00000016501,,ENSG00000187867,,ortholog_one2one,56.0606,37.6453
627404,ENSCAFG00000016504,,ENSG00000104998,,ortholog_one2one,58.3333,71.5409
627499,ENSCAFG00000041658,,ENSG00000171136,,ortholog_one2one,61.6279,74.6479
627740,ENSCAFG00000016511,,ENSG00000132005,,ortholog_one2one,95.7862,95.1992
628003,ENSCAFG00000016398,,ENSG00000132017,,ortholog_one2one,93.3222,93.1667
628189,ENSCAFG00000016521,,ENSG00000132000,,ortholog_one2one,90.087,90.2439
628303,ENSCAFG00000016566,,ENSG00000132024,,ortholog_one2one,90.9569,90.9569
628511,ENSCAFG00000016588,,ENSG00000132016,,ortholog_one2one,40.5034,26.497
628605,ENSCAFG00000016592,,ENSG00000187556,,ortholog_one2one,58.0357,67.7083
628830,ENSCAFG00000016604,,ENSG00000132003,,ortholog_one2one,86.1136,96.5622
628946,ENSCAFG00000029030,,ENSG00000104979,,ortholog_one2one,83.8384,83.8384
629131,ENSCAFG00000016615,,ENSG00000037757,,ortholog_one2one,91.3043,91.0569
629339,ENSCAFG00000016626,,ENSG00000104957,,ortholog_one2one,68.7251,87.1212
629552,ENSCAFG00000016897,,ENSG00000141837,,ortholog_one2one,95.9632,95.5812
629865,ENSCAFG00000023155,,ENSG00000160888,,ortholog_one2one,88.7387,88.3408
630023,ENSCAFG00000017045,,ENSG00000104915,,ortholog_one2one,91.5663,91.5663
630117,ENSCAFG00000017060,,ENSG00000160877,,ortholog_one2one,92.7063,91.6509
630408,ENSCAFG00000017070,,ENSG00000104907,,ortholog_one2one,88.9226,88.9226
630624,ENSCAFG00000043872,,ENSG00000104903,,ortholog_one2many,43.6709,49.2857
630724,ENSCAFG00000017009,,ENSG00000008441,,ortholog_one2one,98.8024,97.0588
631033,ENSCAFG00000017074,,ENSG00000179284,,ortholog_one2one,65.7895,66.1376
631173,ENSCAFG00000017085,,ENSG00000179262,,ortholog_one2one,61.553,89.5317
631384,ENSCAFG00000017076,,ENSG00000179271,,ortholog_one2one,79.9087,78.8288
631572,ENSCAFG00000017093,,ENSG00000179218,,ortholog_one2one,94.964,94.964
631733,ENSCAFG00000017096,,ENSG00000179115,,ortholog_one2one,94.2913,87.4088
631951,ENSCAFG00000017099,,ENSG00000161860,,ortholog_one2one,67.0659,51.3761
632063,ENSCAFG00000017106,,ENSG00000105607,,ortholog_one2one,73.823,89.4977
632322,ENSCAFG00000017111,,ENSG00000105610,,ortholog_one2one,80.7588,82.3204
632430,ENSCAFG00000017115,,ENSG00000105612,,ortholog_one2one,71.7033,72.5
632622,ENSCAFG00000017133,,ENSG00000105613,,ortholog_one2one,95.1839,90.6369
632924,ENSCAFG00000017154,,ENSG00000132026,,ortholog_one2one,71.3004,60.9195
633148,ENSCAFG00000017159,,ENSG00000104889,,ortholog_one2one,50.3984,84.6154
633357,ENSCAFG00000017163,,ENSG00000167815,,ortholog_one2one,92.9293,92.9293
633512,ENSCAFG00000028848,,ENSG00000171223,,ortholog_one2one,97.1182,97.1182
633742,ENSCAFG00000017183,,ENSG00000095066,,ortholog_one2one,92.6287,92.6287
633934,ENSCAFG00000017200,,ENSG00000039987,,ortholog_one2one,89.5874,89.5874
634158,ENSCAFG00000017208,,ENSG00000198356,,ortholog_one2one,100.0,100.0
634378,ENSCAFG00000030547,,ENSG00000123144,,ortholog_one2one,93.8548,95.4545
634567,ENSCAFG00000017226,,ENSG00000105576,,ortholog_one2one,99.8885,99.8885
634867,ENSCAFG00000017235,,ENSG00000132004,,ortholog_one2one,79.9127,76.569
635230,ENSCAFG00000017245,,ENSG00000285589,,ortholog_one2many,28.7263,77.3723
635231,ENSCAFG00000017245,,ENSG00000095059,,ortholog_one2many,93.4959,93.2432
635473,ENSCAFG00000017249,,ENSG00000123154,,ortholog_one2one,96.5079,96.5079
635700,ENSCAFG00000028908,,ENSG00000105583,,ortholog_one2one,100.0,100.0
635917,ENSCAFG00000017257,,ENSG00000269242,,ortholog_one2many,10.5566,55.5556
635918,ENSCAFG00000017257,,ENSG00000104774,,ortholog_one2many,75.5278,77.8437
636185,ENSCAFG00000030317,,ENSG00000242852,,ortholog_many2many,30.7829,26.9891
636186,ENSCAFG00000030317,,ENSG00000196826,,ortholog_many2many,30.7829,26.9891
636187,ENSCAFG00000030317,,ENSG00000269755,,ortholog_many2many,1.9573,13.75
636353,ENSCAFG00000049346,,ENSG00000242852,,ortholog_many2many,27.7778,35.8814
636354,ENSCAFG00000049346,,ENSG00000196826,,ortholog_many2many,27.7778,35.8814
636355,ENSCAFG00000049346,,ENSG00000269755,,ortholog_many2many,3.74396,38.75
636431,ENSCAFG00000017319,,ENSG00000102575,,ortholog_one2one,84.2566,88.9231
