dog_ensembl_id,dog_gene_symbol,human_ensembl_id,human_gene_symbol,orthology_type,pct_id_dog_to_human,pct_id_human_to_dog
ENSCAFG00000013171,,ENSG00000177189,RPS6KA3,ortholog_one2one,99.8605,96.7568
ENSCAFG00000016241,,ENSG00000072501,SMC1A,ortholog_one2one,99.8378,99.8378
ENSCAFG00000009879,,ENSG00000166167,BTRC,ortholog_one2one,99.8347,99.8347
ENSCAFG00000009209,,ENSG00000153234,NR4A2,ortholog_one2one,99.8328,99.8328
ENSCAFG00000005576,,ENSG00000092201,SUPT16H,ortholog_one2one,99.809,99.809
ENSCAFG00000001836,,ENSG00000122692,SMU1,ortholog_one2one,99.8051,99.8051
ENSCAFG00000029157,,ENSG00000139910,NOVA1,ortholog_one2one,99.8028,99.8028
ENSCAFG00000006870,,ENSG00000132964,CDK8,ortholog_one2one,99.7845,99.7845
ENSCAFG00000003844,,ENSG00000183207,RUVBL2,ortholog_one2one,99.784,99.784
ENSCAFG00000011832,,ENSG00000101958,GLRA2,ortholog_one2one,99.7788,99.7788
ENSCAFG00000018554,,ENSG00000198081,ZBTB14,ortholog_one2one,99.7773,99.7773
ENSCAFG00000011914,,ENSG00000101138,CSTF1,ortholog_one2one,99.768,99.768
ENSCAFG00000003162,,ENSG00000197329,PELI1,ortholog_one2one,99.7608,99.7608
ENSCAFG00000016505,,ENSG00000109606,DHX15,ortholog_one2one,99.7484,99.7484
ENSCAFG00000010005,,ENSG00000198728,LDB1,ortholog_one2one,99.7333,90.9976
ENSCAFG00000017350,,ENSG00000196361,ELAVL3,ortholog_one2one,99.7275,99.7275
ENSCAFG00000018867,,ENSG00000156531,PHF6,ortholog_one2one,99.7268,99.7268
ENSCAFG00000006271,,ENSG00000133119,RFC3,ortholog_one2one,99.7191,99.7191
ENSCAFG00000017134,,ENSG00000147162,OGT,ortholog_one2one,99.7132,99.7132
ENSCAFG00000011482,,ENSG00000258643,BCL2L2-PABPN1,ortholog_one2one,99.6997,90.9589
ENSCAFG00000003332,,ENSG00000135333,EPHA7,ortholog_one2one,99.6994,99.6994
ENSCAFG00000011709,,ENSG00000172318,B3GALT1,ortholog_one2one,99.6933,99.6933
ENSCAFG00000018587,,ENSG00000101972,STAG2,ortholog_one2one,99.6845,99.6845
ENSCAFG00000014596,,ENSG00000070010,UFD1,ortholog_one2one,99.6743,99.6743
ENSCAFG00000014291,,ENSG00000129933,MAU2,ortholog_one2one,99.6737,99.6737
ENSCAFG00000014816,,ENSG00000144580,CNOT9,ortholog_one2one,99.6656,90.0302
ENSCAFG00000005130,,ENSG00000125814,NAPB,ortholog_one2one,99.6644,98.3444
ENSCAFG00000010831,,ENSG00000108061,SHOC2,ortholog_one2one,99.6564,99.6564
ENSCAFG00000000137,,ENSG00000091164,TXNL1,ortholog_one2one,99.654,99.654
ENSCAFG00000007222,,ENSG00000132953,XPO4,ortholog_one2one,99.6525,99.6525
ENSCAFG00000029797,,ENSG00000126778,SIX1,ortholog_one2one,99.6479,99.6479
ENSCAFG00000014578,,ENSG00000005007,UPF1,ortholog_one2one,99.646,99.7343
ENSCAFG00000032307,,ENSG00000169740,ZNF32,ortholog_one2one,99.6337,99.6337
ENSCAFG00000019188,,ENSG00000174238,PITPNA,ortholog_one2one,99.6296,99.6296
ENSCAFG00000018650,,ENSG00000087095,NLK,ortholog_one2one,99.6205,99.6205
ENSCAFG00000002445,,ENSG00000136937,NCBP1,ortholog_one2one,99.6203,99.6203
ENSCAFG00000006030,,ENSG00000132646,PCNA,ortholog_one2one,99.6169,99.6169
ENSCAFG00000010909,,ENSG00000165934,CPSF2,ortholog_one2one,99.6164,99.6164
ENSCAFG00000004547,,ENSG00000180332,KCTD4,ortholog_one2one,99.6124,99.2278
ENSCAFG00000004591,,ENSG00000165985,C1QL3,ortholog_one2one,99.6078,99.6078
ENSCAFG00000011987,,ENSG00000170370,EMX2,ortholog_one2one,99.6047,100.0
ENSCAFG00000002700,,ENSG00000105618,PRPF31,ortholog_one2one,99.5992,99.5992
ENSCAFG00000004944,,ENSG00000184226,PCDH9,ortholog_one2one,99.5958,99.5958
ENSCAFG00000009514,,ENSG00000166913,YWHAB,ortholog_one2one,99.5935,99.5935
ENSCAFG00000010971,,ENSG00000119042,SATB2,ortholog_one2one,99.5907,99.5907
ENSCAFG00000015491,,ENSG00000101940,WDR13,ortholog_one2one,99.5876,99.5876
ENSCAFG00000013632,,ENSG00000169306,IL1RAPL1,ortholog_one2one,99.569,99.569
ENSCAFG00000003580,,ENSG00000164418,GRIK2,ortholog_one2one,99.5595,99.5595
ENSCAFG00000017693,,ENSG00000126945,HNRNPH2,ortholog_one2one,99.5546,99.5546
ENSCAFG00000006960,,ENSG00000105677,TMEM147,ortholog_one2one,99.5536,99.5536
ENSCAFG00000014355,,ENSG00000061676,NCKAP1,ortholog_one2one,99.5463,96.7372
ENSCAFG00000005866,,ENSG00000178982,EIF3K,ortholog_one2one,99.5413,99.5413
ENSCAFG00000019158,,ENSG00000167658,EEF2,ortholog_one2one,99.5338,99.5338
ENSCAFG00000001613,,ENSG00000124641,MED20,ortholog_one2one,99.5283,99.5283
ENSCAFG00000023253,,ENSG00000146267,FAXC,ortholog_one2one,99.511,99.511
ENSCAFG00000019528,,ENSG00000071626,DAZAP1,ortholog_one2one,99.5074,99.2629
ENSCAFG00000011750,,ENSG00000123595,RAB9A,ortholog_one2one,99.5025,99.5025
ENSCAFG00000001918,,ENSG00000172432,GTPBP2,ortholog_one2one,99.5017,99.5017
ENSCAFG00000023674,,ENSG00000198642,KLHL9,ortholog_one2one,99.4819,93.3549
ENSCAFG00000012521,,ENSG00000198586,TLK1,ortholog_one2one,99.4778,96.8234
ENSCAFG00000013826,,ENSG00000100934,SEC23A,ortholog_one2one,99.4771,99.4771
ENSCAFG00000012163,,ENSG00000101158,NELFCD,ortholog_one2one,99.4652,93.1553
ENSCAFG00000017879,,ENSG00000141429,GALNT1,ortholog_one2one,99.4633,99.4633
ENSCAFG00000003854,,ENSG00000112290,WASF1,ortholog_one2one,99.4633,99.4633
ENSCAFG00000003421,,ENSG00000172461,FUT9,ortholog_one2one,99.4429,99.4429
ENSCAFG00000014103,,ENSG00000187231,SESTD1,ortholog_one2one,99.4253,99.4253
ENSCAFG00000003224,,ENSG00000136875,PRPF4,ortholog_one2one,99.4253,99.4253
ENSCAFG00000013332,,ENSG00000115966,ATF2,ortholog_one2one,99.4059,99.4059
ENSCAFG00000009183,,ENSG00000162989,KCNJ3,ortholog_one2one,99.4012,99.4012
ENSCAFG00000002955,,ENSG00000119866,BCL11A,ortholog_one2one,99.4005,99.2814
ENSCAFG00000032562,,ENSG00000165410,CFL2,ortholog_one2one,99.3976,99.3976
ENSCAFG00000004325,,ENSG00000102753,KPNA3,ortholog_one2one,99.3976,95.0096
ENSCAFG00000017908,,ENSG00000130811,EIF3G,ortholog_one2one,99.375,99.375
ENSCAFG00000031586,,ENSG00000119862,LGALSL,ortholog_one2one,99.375,92.4419
ENSCAFG00000016031,,ENSG00000126803,HSPA2,ortholog_one2one,99.3721,99.061
ENSCAFG00000018663,,ENSG00000109079,TNFAIP1,ortholog_one2one,99.3671,99.3671
ENSCAFG00000009681,,ENSG00000204070,SYS1,ortholog_one2one,99.359,99.359
ENSCAFG00000003526,,ENSG00000078725,BRINP1,ortholog_one2one,99.343,99.343
ENSCAFG00000015465,,ENSG00000156113,KCNMA1,ortholog_one2one,99.3366,93.0124
ENSCAFG00000009337,,ENSG00000137285,TUBB2B,ortholog_one2one,99.3304,100.0
ENSCAFG00000013228,,ENSG00000149970,CNKSR2,ortholog_one2one,99.323,99.323
ENSCAFG00000008738,,ENSG00000077147,TM9SF3,ortholog_one2one,99.3186,98.9813
ENSCAFG00000024782,,ENSG00000204052,LRRC73,ortholog_one2one,99.3151,91.7721
ENSCAFG00000001395,,ENSG00000100201,DDX17,ortholog_one2one,99.3141,99.0424
ENSCAFG00000015216,,ENSG00000165588,OTX2,ortholog_one2one,99.308,96.633
ENSCAFG00000042390,,ENSG00000137267,TUBB2A,ortholog_one2one,99.3007,95.7303
ENSCAFG00000000008,,ENSG00000141759,TXNL4A,ortholog_one2one,99.2958,99.2958
ENSCAFG00000010354,,ENSG00000076685,NT5C2,ortholog_one2one,99.287,97.891
ENSCAFG00000007949,,ENSG00000108231,LGI1,ortholog_one2one,99.2819,99.2819
ENSCAFG00000023840,,ENSG00000178235,SLITRK1,ortholog_one2one,99.2816,99.2816
ENSCAFG00000007428,,ENSG00000198060,MARCHF5,ortholog_one2one,99.2806,99.2806
ENSCAFG00000017570,,ENSG00000100796,PPP4R3A,ortholog_one2one,99.2797,99.2797
ENSCAFG00000013476,,ENSG00000067992,PDK3,ortholog_one2one,99.2771,99.2771
ENSCAFG00000003701,,ENSG00000057663,ATG5,ortholog_one2one,99.2727,99.2727
ENSCAFG00000013087,,ENSG00000100105,PATZ1,ortholog_one2one,99.2722,99.2722
ENSCAFG00000017894,,ENSG00000100811,YY1,ortholog_one2one,99.2683,98.3092
ENSCAFG00000009984,,ENSG00000136535,TBR1,ortholog_one2one,99.2669,99.2669
ENSCAFG00000016589,,ENSG00000100650,SRSF5,ortholog_one2one,99.2647,99.2647
ENSCAFG00000005206,,ENSG00000134453,RBM17,ortholog_one2one,99.2519,99.2519
ENSCAFG00000000056,,ENSG00000081138,CDH7,ortholog_one2one,99.2357,99.2357
ENSCAFG00000020196,,ENSG00000044574,HSPA5,ortholog_one2one,99.2355,99.2355
ENSCAFG00000017986,,ENSG00000197102,DYNC1H1,ortholog_one2one,99.2253,99.2467
ENSCAFG00000011243,,ENSG00000100462,PRMT5,ortholog_one2one,99.2151,99.2151
ENSCAFG00000009287,,ENSG00000115170,ACVR1,ortholog_one2one,99.2141,99.2141
ENSCAFG00000004365,,ENSG00000136754,ABI1,ortholog_one2one,99.2126,99.2126
ENSCAFG00000013351,,ENSG00000165186,PTCHD1,ortholog_one2one,99.2117,99.2117
ENSCAFG00000011537,,ENSG00000073464,CLCN4,ortholog_one2one,99.2105,98.1771
ENSCAFG00000005926,,ENSG00000102466,FGF14,ortholog_one2one,99.2064,99.2064
ENSCAFG00000018002,,ENSG00000197705,KLHL14,ortholog_one2one,99.2051,99.3631
ENSCAFG00000016524,,ENSG00000186767,SPIN4,ortholog_one2one,99.1968,99.1968
ENSCAFG00000014002,,ENSG00000099284,MACROH2A2,ortholog_one2one,99.1936,99.1936
ENSCAFG00000020206,,ENSG00000173611,SCAI,ortholog_one2one,99.1749,95.5485
ENSCAFG00000014050,,ENSG00000148730,EIF4EBP2,ortholog_one2one,99.1667,99.1667
ENSCAFG00000013663,,ENSG00000128266,GNAZ,ortholog_one2one,99.1549,99.1549
ENSCAFG00000015237,,ENSG00000070367,EXOC5,ortholog_one2one,99.1525,98.7342
ENSCAFG00000013270,,ENSG00000198739,LRRTM3,ortholog_one2one,99.1394,99.1394
ENSCAFG00000010417,,ENSG00000112308,C6orf62,ortholog_one2one,99.1266,99.1266
ENSCAFG00000012749,,ENSG00000101193,GID8,ortholog_one2one,99.1228,99.1228
ENSCAFG00000001391,,ENSG00000100206,DMC1,ortholog_one2one,99.1176,99.1176
ENSCAFG00000002601,,ENSG00000160469,BRSK1,ortholog_one2one,99.1139,98.6146
ENSCAFG00000019103,,ENSG00000269556,TMEM185A,ortholog_one2one,99.1098,95.4286
ENSCAFG00000011912,,ENSG00000148704,VAX1,ortholog_one2one,99.1018,99.1018
ENSCAFG00000018090,,ENSG00000101935,AMMECR1,ortholog_one2one,99.0964,98.7988
ENSCAFG00000014945,,ENSG00000105649,RAB3A,ortholog_one2one,99.0909,99.0909
ENSCAFG00000019349,,ENSG00000127774,EMC6,ortholog_one2one,99.0909,99.0909
ENSCAFG00000032548,,ENSG00000140015,KCNH5,ortholog_one2one,99.0891,99.0891
ENSCAFG00000001544,,ENSG00000100353,EIF3D,ortholog_one2one,99.0876,99.0876
ENSCAFG00000018158,,ENSG00000198795,ZNF521,ortholog_one2one,99.0847,99.0847
ENSCAFG00000005561,,ENSG00000065150,IPO5,ortholog_one2one,99.0766,96.2332
ENSCAFG00000001715,,ENSG00000120162,MOB3B,ortholog_one2one,99.0741,99.0741
ENSCAFG00000000905,,ENSG00000196911,KPNA5,ortholog_one2one,99.0724,99.0724
ENSCAFG00000015936,,ENSG00000116106,EPHA4,ortholog_one2one,99.0576,95.9432
ENSCAFG00000017010,,ENSG00000196338,NLGN3,ortholog_one2one,99.0566,99.0566
ENSCAFG00000014224,,ENSG00000030419,IKZF2,ortholog_one2one,99.0494,97.9323
ENSCAFG00000001370,,ENSG00000100246,DNAL4,ortholog_one2one,99.0476,99.0476
ENSCAFG00000016386,,ENSG00000134001,EIF2S1,ortholog_one2one,99.0476,99.0476
ENSCAFG00000001795,,ENSG00000109132,PHOX2B,ortholog_one2one,99.0446,99.0446
ENSCAFG00000003054,,ENSG00000148153,INIP,ortholog_one2one,99.0385,99.0385
ENSCAFG00000003452,,ENSG00000186231,KLHL32,ortholog_one2one,99.0323,99.0323
ENSCAFG00000014104,,ENSG00000166228,PCBD1,ortholog_one2one,99.0291,98.0769
ENSCAFG00000019409,,ENSG00000130332,LSM7,ortholog_one2one,99.0291,99.0291
ENSCAFG00000000039,,ENSG00000206052,DOK6,ortholog_one2one,99.0291,92.4471
ENSCAFG00000005669,,ENSG00000015171,ZMYND11,ortholog_one2one,99.0275,99.0275
ENSCAFG00000032463,,ENSG00000205155,PSENEN,ortholog_one2one,99.0099,99.0099
ENSCAFG00000001727,,ENSG00000174482,LINGO2,ortholog_one2one,99.0099,99.0099
ENSCAFG00000013398,,ENSG00000174010,KLHL15,ortholog_one2one,99.0066,99.0066
ENSCAFG00000001996,,ENSG00000096401,CDC5L,ortholog_one2one,99.0025,99.0025
ENSCAFG00000007912,,ENSG00000100991,TRPC4AP,ortholog_one2one,98.9962,98.9962
ENSCAFG00000018574,,ENSG00000125676,THOC2,ortholog_one2one,98.9956,98.9956
ENSCAFG00000031042,,ENSG00000126003,PLAGL2,ortholog_one2one,98.9919,98.9919
ENSCAFG00000017326,,ENSG00000130176,CNN1,ortholog_one2one,98.9899,98.9899
ENSCAFG00000031807,,ENSG00000167635,ZNF146,ortholog_one2one,98.9726,98.9726
ENSCAFG00000017633,,ENSG00000126953,TIMM8A,ortholog_one2one,98.9691,98.9691
ENSCAFG00000001229,,ENSG00000196821,ILRUN,ortholog_one2one,98.9691,96.6443
ENSCAFG00000019060,,ENSG00000159842,ABR,ortholog_one2one,98.9667,98.9667
ENSCAFG00000012911,,ENSG00000092148,HECTD1,ortholog_one2one,98.9651,98.7758
ENSCAFG00000003341,,ENSG00000116001,TIA1,ortholog_one2one,98.9637,98.9637
ENSCAFG00000018592,,ENSG00000196712,NF1,ortholog_one2one,98.9583,97.0412
ENSCAFG00000015796,,ENSG00000167460,TPM4,ortholog_one2one,98.9437,98.9437
ENSCAFG00000002712,,ENSG00000179915,NRXN1,ortholog_one2one,98.9383,96.3801
ENSCAFG00000018239,,ENSG00000101752,MIB1,ortholog_one2one,98.935,92.3459
ENSCAFG00000032081,,ENSG00000213780,GTF2H4,ortholog_one2one,98.9201,99.1342
ENSCAFG00000000164,,ENSG00000141646,SMAD4,ortholog_one2one,98.913,98.913
ENSCAFG00000014826,,ENSG00000100522,GNPNAT1,ortholog_one2one,98.913,98.913
ENSCAFG00000015617,,ENSG00000188760,TMEM198,ortholog_one2one,98.8889,98.8889
ENSCAFG00000020028,,ENSG00000136802,LRRC8A,ortholog_one2one,98.8889,98.8889
ENSCAFG00000003050,,ENSG00000082898,XPO1,ortholog_one2one,98.8796,98.8796
ENSCAFG00000012528,,ENSG00000101182,PSMA7,ortholog_one2one,98.8764,70.9677
ENSCAFG00000049846,,ENSG00000100575,TIMM9,ortholog_one2one,98.8764,98.8764
ENSCAFG00000016077,,ENSG00000107779,BMPR1A,ortholog_one2one,98.8722,98.8722
ENSCAFG00000013761,,ENSG00000060339,CCAR1,ortholog_one2one,98.8696,98.8696
ENSCAFG00000025069,,ENSG00000151834,GABRA2,ortholog_one2one,98.8688,85.5186
ENSCAFG00000003905,,ENSG00000123505,AMD1,ortholog_one2one,98.8679,56.71
ENSCAFG00000010310,,ENSG00000148842,CNNM2,ortholog_one2one,98.8571,98.8571
ENSCAFG00000014518,,ENSG00000156026,MCU,ortholog_one2one,98.8571,98.5755
ENSCAFG00000017599,,ENSG00000078043,PIAS2,ortholog_one2one,98.8562,97.4235
ENSCAFG00000031522,,ENSG00000076984,MAP2K7,ortholog_one2one,98.8506,98.8506
ENSCAFG00000017635,,ENSG00000141622,ARK2C,ortholog_one2one,98.8439,98.8439
ENSCAFG00000001212,,ENSG00000272325,NUDT3,ortholog_one2one,98.8372,98.8372
ENSCAFG00000011659,,ENSG00000054793,ATP9A,ortholog_one2one,98.8338,97.1347
ENSCAFG00000009386,,ENSG00000172987,HPSE2,ortholog_one2one,98.8176,98.8176
ENSCAFG00000002772,,ENSG00000105568,PPP2R1A,ortholog_one2one,98.8136,98.9813
ENSCAFG00000018629,,ENSG00000109046,WSB1,ortholog_one2one,98.8124,98.8124
ENSCAFG00000002244,,ENSG00000174780,SRP72,ortholog_one2one,98.8077,98.8077
ENSCAFG00000017009,,ENSG00000008441,NFIX,ortholog_one2one,98.8024,97.0588
ENSCAFG00000011570,,ENSG00000101871,MID1,ortholog_one2one,98.8006,91.7827
ENSCAFG00000018667,,ENSG00000088247,KHSRP,ortholog_one2one,98.786,91.5612
ENSCAFG00000023386,,ENSG00000178531,CTXN1,ortholog_one2one,98.7805,98.7805
ENSCAFG00000015689,,ENSG00000068308,OTUD5,ortholog_one2one,98.7741,98.7741
ENSCAFG00000017967,,ENSG00000127445,PIN1,ortholog_one2one,98.773,98.773
ENSCAFG00000020226,,ENSG00000106689,LHX2,ortholog_one2one,98.7685,97.3301
ENSCAFG00000014219,,ENSG00000165516,KLHDC2,ortholog_one2one,98.7685,98.7685
ENSCAFG00000031480,,ENSG00000111832,RWDD1,ortholog_one2one,98.7654,98.7654
ENSCAFG00000001520,,ENSG00000147862,NFIB,ortholog_one2one,98.7633,98.0702
ENSCAFG00000014971,,ENSG00000214655,ZSWIM8,ortholog_one2one,98.7514,98.7514
ENSCAFG00000003665,,ENSG00000104888,SLC17A7,ortholog_one2one,98.75,98.75
ENSCAFG00000029464,,ENSG00000099804,CDC34,ortholog_one2one,98.7288,98.7288
ENSCAFG00000005412,,ENSG00000105202,FBL,ortholog_one2one,98.722,96.2617
ENSCAFG00000001436,,ENSG00000100146,SOX10,ortholog_one2one,98.7179,99.1416
ENSCAFG00000018898,,ENSG00000160551,TAOK1,ortholog_one2one,98.7141,99.7003
ENSCAFG00000017828,,ENSG00000123575,FAM199X,ortholog_one2one,98.7113,98.7113
ENSCAFG00000014358,,ENSG00000147044,CASK,ortholog_one2one,98.7041,95.7068
ENSCAFG00000009963,,ENSG00000115233,PSMD14,ortholog_one2one,98.7013,98.0645
ENSCAFG00000032451,,ENSG00000136950,ARPC5L,ortholog_one2one,98.6928,98.6928
ENSCAFG00000004345,,ENSG00000136144,RCBTB1,ortholog_one2one,98.6817,98.6817
ENSCAFG00000029537,,ENSG00000165474,GJB2,ortholog_one2one,98.6726,98.6726
ENSCAFG00000018007,,ENSG00000101843,PSMD10,ortholog_one2one,98.6726,98.6726
ENSCAFG00000012396,,ENSG00000165443,PHYHIPL,ortholog_one2one,98.6702,98.6702
ENSCAFG00000018564,,ENSG00000125675,GRIA3,ortholog_one2one,98.6577,98.6577
